date,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2019/6/3,22.66,22.72,22.13,22.27,22.58,2283236,51057344,3,0.822363,1,-1.372894,0
2019/6/4,22.28,22.44,22.04,22.13,22.27,1627197,36105992,3,0.586074,1,-0.628654,0
2019/6/5,22.18,22.25,21.29,21.74,22.13,4356478,94377848,3,1.569091,1,-1.762311,0
2019/6/6,21.62,21.67,21.24,21.3,21.74,2557647,54572891,3,0.921198,1,-2.023921,0
2019/6/10,21.4,21.77,21.12,21.45,21.3,2313320,49818251,3,0.833198,1,0.704233,0
2019/6/11,21.55,22.44,21.42,22.4,21.45,3384497,74409584,3,1.219009,1,4.428899,0
2019/6/12,22.4,22.4,22.02,22.22,22.4,1595928,35407723,3,0.574812,1,-0.803573,0
2019/6/13,22.23,22.28,21.96,22.16,22.22,1687328,37309438,3,0.607732,1,-0.270025,0
2019/6/14,22.17,22.34,22.05,22.18,22.16,2047204,45476276,3,0.73735,1,0.090255,0
2019/6/17,22.13,22.39,22,22.18,22.18,1955686,43438410,3,0.704388,1,0,0
2019/6/18,22.25,22.38,21.95,22.03,22.18,1780200,39307396,3,0.641182,1,-0.676283,0
2019/6/19,22.33,22.59,22.16,22.19,22.03,2351340,52561210,3,0.846892,1,0.726282,0
2019/6/20,22.2,22.9,22.12,22.54,22.19,2398072,54007752,3,0.863724,1,1.577289,0
2019/6/21,22.59,22.98,22.54,22.61,22.54,3257401,74365688,3,1.173232,1,0.310558,0
2019/6/24,22.77,22.84,22.46,22.7,22.61,1949129,44131427,3,0.702026,1,0.398055,0
2019/6/25,22.74,23.55,22.7,23.33,22.7,4917399,113346428,3,1.77112,1,2.775326,0
2019/6/26,23.19,23.58,22.9,23.37,23.33,2528699,58811843,3,0.910772,1,0.171457,0
2019/6/27,23.37,23.55,23.28,23.35,23.37,1991325,46588617,3,0.717224,1,-0.085582,0
2019/6/28,23.31,23.34,22.76,22.97,23.35,1764873,40513674,3,0.635662,1,-1.627414,0
2019/7/1,23.23,23.5,23.12,23.5,22.97,2883006,67368758,3,1.038384,1,2.30736,0
2019/7/2,23.37,23.83,23.33,23.55,23.5,2471075,58314643,3,0.890017,1,0.212763,0
2019/7/3,23.55,23.57,22.66,22.95,23.55,3849963,88903070,3,1.386657,1,-2.547764,0
2019/7/4,22.97,23.46,22.91,23.2,22.95,2816882,65384213,3,1.014568,1,1.089325,0
2019/7/5,23.2,23.48,23.1,23.4,23.2,1764043,41149595,3,0.635363,1,0.862064,0
2019/7/8,23.25,23.33,22.66,22.72,23.4,2005939,45946253,3,0.722487,1,-2.905984,0
2019/7/9,22.73,23.08,22.63,22.79,22.72,1895973,43302757,3,0.682881,1,0.308106,0
2019/7/10,22.97,22.97,22.59,22.71,22.79,1760533,40038814,3,0.634099,1,-0.351039,0
2019/7/11,22.83,23.29,22.72,23.25,22.71,2222427,51268261,3,0.800461,1,2.377811,0
2019/7/12,23.25,23.57,23.09,23.42,23.25,2073899,48495583,3,0.746965,1,0.731183,0
2019/7/15,23.49,23.89,23.21,23.67,23.42,2751831,64973962,3,0.991139,1,1.067464,0
2019/7/16,23.63,23.75,23.34,23.5,23.67,1534986,36088236,3,0.552862,1,-0.718209,0
2019/7/17,23.5,23.7,23.32,23.49,23.5,1649418,38735939,3,0.594078,1,-0.042554,0
2019/7/18,23.37,23.38,22.84,22.95,23.49,1606994,36995130,3,0.578798,1,-2.298846,0
2019/7/19,22.98,23.15,22.81,22.9,22.95,2628036,60300880,3,0.946551,1,-0.21787,0
